"Time","coredns","etcd","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload","ue-ch-est","ue-ch-mmse","ue-ch-mmse-98b7f65cf-h6nwc","ue-check-crc","ue-check-crc-7f9f86875d-k5hd5","ue-descrambling","ue-descrambling-5c54bcf8b4-x74tv","ue-layer-demap","ue-layer-demap-56d87f6894-zvvxl","ue-ldpc-dec","ue-ofdm-demod","ue-ofdm-demod-7f9ddcf5f5-tpqwn","ue-soft-demod","ue-soft-demod-cc9c66bb5-5njnq"
2026-06-03 20:37:24,0,0.0772,0,0.0772,0,0.309,0.0772,0,0.0772,0,0,0,0,9.58,9.66,,0,,9.58,,9.66,,9.66,9.66,,9.66,
2026-06-03 20:37:25,0,0.155,0,0.0773,0,0.232,0,0,0.0773,0,0,0,0,9.58,9.58,,0,,9.58,,9.58,,9.58,9.58,,9.66,
2026-06-03 20:37:26,0,0.155,0,0.0773,0,0.232,0,0,0.0773,0,0,0,0,9.58,9.58,,0,,9.58,,9.58,,9.58,9.58,,9.66,
2026-06-03 20:37:27,0,0.155,0,0.0773,0,0.232,0,0,0.0773,0,0,0,0,9.58,9.58,,0,,9.58,,9.58,,9.58,9.58,,9.66,
2026-06-03 20:37:28,0,0.155,0,0.0773,0,0.232,0,0,0.0773,0,0,0,0,9.58,9.58,,0,,9.58,,9.58,,9.58,9.58,,9.66,
2026-06-03 20:37:29,0,0.155,0,0.0773,0,0.232,0,0,0.0773,0,0,0,0,9.58,9.58,,0,,9.58,,9.58,,9.58,9.58,,9.66,
2026-06-03 20:37:30,0.0782,0.0782,0,0,0,0.156,0,0,0.0782,0,0,0,0,9.70,9.70,,0,,9.62,,9.70,,9.62,9.70,,9.62,
2026-06-03 20:37:31,0.0782,0.0782,0,0,0,0.156,0,0,0.0782,0,0,0,0,9.70,9.70,,0,,9.62,,9.70,,9.62,9.70,,9.62,
2026-06-03 20:37:32,0.0782,0.0782,0,0,0,0.156,0,0,0.0782,0,0,0,0,9.70,9.70,,0,,9.62,,9.70,,9.62,9.70,,9.62,
2026-06-03 20:37:33,0.0782,0.0782,0,0,0,0.156,0,0,0.0782,0,0,0,0,9.70,9.70,,0,,9.62,,9.70,,9.62,9.70,,9.62,
2026-06-03 20:37:34,0.0782,0.0782,0,0,0,0.156,0,0,0.0782,0,0,0,0,9.70,9.70,,0,,9.62,,9.70,,9.62,9.70,,9.62,
2026-06-03 20:37:35,0,0.0782,0,0.0782,0,0.156,0,0,0.0782,0,0,0,0,9.62,9.62,,0,,9.54,,9.62,,9.54,9.62,,9.62,
